ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Precipitation(in),Weather_Event,Weather_Conditions,Duration(mins),StartHour,StartDayOfWeek,IsWeekend,Weather_Encoded
C-1,0,42.410881,-71.147995,2020-11-10 22:54:00+00:00,2020-11-11 00:29:27+00:00,3.990000009536743,0.0,4.0,Moderate,Delays of four minutes and delays increasing on Massachusetts Ave Westbound between MA-2A Massachusetts Ave and US-3 Mass Ave. Average speed 15 mph.,Wyman Ter,Arlington,Middlesex,MA,US,02474-6726,US/Eastern,KBED,2020-11-10T17:51:00.000-05:00,64.0,63.0,29.93,10.0,0.0,,Fair,95.45,22,1,0,19
C-2,0,42.512131,-71.027992,2020-11-10 22:53:00+00:00,2020-11-10 23:33:43+00:00,0.75,1.0,1.0,Moderate,Delays of one minute on Walnut St Southbound between Westway and Sparhawk Dr. Average speed ten mph.,Walnut St,Lynnfield,Essex,MA,US,01940-2653,US/Eastern,KBVY,2020-11-10T17:53:00.000-05:00,66.0,54.0,29.95,10.0,0.0,,Fair,40.71666666666667,22,1,0,19
C-3,1,42.272388,-71.068001,2020-11-10 22:49:00+00:00,2020-11-10 23:39:39+00:00,4.280000209808351,0.0,7.0,Slow,Delays of seven minutes and delays increasing on Dorchester Ave Southbound between Dewar St and Washington St. Average speed ten mph.,Dorchester Ave,Dorchester Center,Suffolk,MA,US,02124,US/Eastern,KMQE,2020-11-10T17:53:00.000-05:00,65.0,70.0,30.05,10.0,0.0,,Fair,50.65,22,1,0,19
C-4,0,42.356911,-71.066254,2020-11-10 22:58:00+00:00,2020-11-10 23:39:39+00:00,0.3799999952316284,0.0,2.0,Slow,Delays of two minutes on Tremont St Westbound between Park St and Beacon St. Average speed ten mph.,Beacon St,Boston,Suffolk,MA,US,02108-3631,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,41.65,22,1,0,104
C-5,1,42.377628,-71.120079,2020-11-10 22:46:00+00:00,2020-11-10 23:39:39+00:00,3.549999952316284,0.0,5.0,Moderate,Delays of five minutes and delays increasing on Massachusetts Ave Westbound in Old Cambridge. Average speed 15 mph.,Massachusetts Ave,Cambridge,Middlesex,MA,US,02138,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,53.65,22,1,0,104
C-6,0,42.42916500000001,-71.04061899999998,2020-11-10 22:54:00+00:00,2020-11-10 23:39:39+00:00,1.7100000381469729,1.0,2.0,Moderate,Delays of two minutes on RT-99 Southbound in Linden. Average speed 15 mph.,Broadway,Malden,Middlesex,MA,US,02148-6021,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,45.65,22,1,0,104
C-7,0,42.502205,-70.979202,2020-11-10 22:38:00+00:00,2020-11-10 23:39:39+00:00,1.820000052452088,2.0,3.0,Slow,Delays of three minutes and delays easing on RT-129 Eastbound between MA-129 Salem St and MA-129 Lynnfield St. Average speed ten mph.,Lynnfield St,Lynn,Essex,MA,US,01904-1412,US/Eastern,KBVY,2020-11-10T17:53:00.000-05:00,66.0,54.0,29.95,10.0,0.0,,Fair,61.65,22,1,0,19
C-8,1,41.860489,-71.40451800000002,2020-11-10 22:59:00+00:00,2020-11-10 23:40:43+00:00,1.4600000381469729,1.0,2.0,Fast,Delays of two minutes on I-95 Southbound between Main St and Exits 24 25 25A-B Branch Ave. Average speed 15 mph.,I-95 S,Pawtucket,Providence,RI,US,02860,US/Eastern,KSFZ,2020-11-10T17:56:00.000-05:00,63.0,87.0,29.64,10.0,0.0,,Fair,41.71666666666667,22,1,0,19
C-9,0,41.871811,-71.41156,2020-11-10 22:41:00+00:00,2020-11-10 23:41:28+00:00,4.929999828338623,2.0,5.0,Moderate,Delays of five minutes and delays increasing on RI-15 Mineral Spring Ave Eastbound between Pensaukee Ave and Fairlawn Ave. Average speed 15 mph.,Legion Dr,Pawtucket,Providence,RI,US,02860-3406,US/Eastern,KSFZ,2020-11-10T17:56:00.000-05:00,63.0,87.0,29.64,10.0,0.0,,Fair,60.46666666666667,22,1,0,19
C-10,0,42.276669,-71.093399,2020-11-10 23:01:00+00:00,2020-11-10 23:41:28+00:00,1.690000057220459,0.0,1.0,Moderate,Delays of one minute on Brush Hill Rd Northbound between MA-138 Blue Hill Ave and MA-28 Blue Hill Ave. Average speed 15 mph.,Blue Hill Ave,Mattapan,Suffolk,MA,US,02126-2250,US/Eastern,KMQE,2020-11-10T17:53:00.000-05:00,65.0,70.0,30.05,10.0,0.0,,Fair,40.46666666666667,23,1,0,19
